,PF1REGULAR,PF1ABNORMAL,PF1NECROTIC,PF1UNFERTILIZED,PF1NONVIABLE,PMEANTEMPERATURE
T1,59,7,2,9,1,4.23
T2,69,0,7,8,0,5.52
T3,60,3,7,9,0,6.57
T4,68,3,6,5,2,7.46
T5,62,13,11,4,0,8.49
T6,64,7,8,3,1,9.36
T7,60,10,4,1,0,10.46
T8,57,18,11,6,0,10.72
T9,57,21,8,4,1,11.37
T10,36,14,8,10,1,12.42
