,PF3REGULAR,PF3ABNORMAL,PF3NECROTIC,PF3UNFERTILIZED,PF3NONVIABLE,PMEANTEMPERATURE
T1,76,10,3,9,0,4.23
T2,78,3,4,9,0,5.52
T3,75,9,7,9,1,6.57
T4,82,6,0,7,2,7.46
T5,71,6,1,1,0,8.49
T6,76,8,5,5,1,9.36
T7,78,10,2,8,0,10.46
T8,70,13,2,4,2,10.72
T9,60,15,1,8,0,11.37
T10,45,19,3,7,0,12.42
