,PF4REGULAR,PF4ABNORMAL,PF4NECROTIC,PF4UNFERTILIZED,PF4NONVIABLE,PMEANTEMPERATURE
T1,83,2,2,19,0,4.23
T2,70,4,3,24,0,5.52
T3,72,4,5,18,0,6.57
T4,70,7,8,16,0,7.46
T5,73,9,2,21,0,8.49
T6,51,4,1,28,0,9.36
T7,62,8,7,22,0,10.46
T8,67,8,4,22,0,10.72
T9,60,13,2,32,0,11.37
T10,43,24,2,34,0,12.42
