,PF2REGULAR,PF2ABNORMAL,PF2NECROTIC,PF2UNFERTILIZED,PF2NONVIABLE,PMEANTEMPERATURE
T1,24,16,7,12,0,4.23
T2,27,20,6,9,0,5.52
T3,27,11,3,15,0,6.57
T4,24,17,8,14,0,7.46
T5,32,18,6,10,0,8.49
T6,35,19,7,13,1,9.36
T7,37,11,5,12,0,10.46
T8,34,18,7,10,0,10.72
T9,35,15,13,12,0,11.37
T10,21,28,7,14,0,12.42
