,CF1REGULAR,CF1ABNORMAL,CF1NECROTIC,CF1UNFERTILIZED,CF1NONVIABLE,CMEANTEMP
T1,74,17,1,31,11,-1.5
T2,130,8,8,29,14,0.3
T3,76,9,1,17,10,2.2
T4,50,11,1,39,6,3.8
T5,55,22,6,36,9,5.4
T6,66,21,2,37,6,6.9
T7,83,8,0,16,8,8.2
T8,54,12,7,18,12,9.4
T9,86,8,2,25,18,10.8
T10,47,12,0,48,17,12
