,CF1REGULAR,CF1ABNORMAL,CF1NECROTIC,CF1UNFERTILIZED,CF1NONVIABLE,CMEANTEMP
T1,68,17,1,31,11,-1.5
T2,100,8,8,27,11,0.3
T3,95,10,1,8,9,2.2
T4,100,1,4,13,7,3.8
T5,116,4,8,3,5,5.4
T6,135,2,1,9,6,6.9
T7,134,0,0,5,6,8.2
T8,126,8,3,7,5,9.4
T9,118,4,8,9,7,10.8
T10,71,12,7,6,6,12
