,CF3REGULAR,CF3ABNORMAL,CF3NECROTIC,CF3UNFERTILIZED,CF3NONVIABLE,CMEANTEMP
T1,85,6,7,11,3,-1.5
T2,100,1,1,15,1,0.3
T3,93,0,0,2,3,2.2
T4,103,0,0,10,0,3.8
T5,105,0,1,7,0,5.4
T6,114,0,12,7,0,6.9
T7,103,0,1,15,0,8.2
T8,95,2,7,9,0,9.4
T9,90,3,3,12,1,10.8
T10,54,1,18,6,1,12
