Decimal Year,STemperature °C,Salinity,DTemperature °C,DSalinity
1969.2917,,,,
1969.375,6.442,29.842,5.64,35.018
1969.4583,11.94,29.236,5.635,35.162
1969.5417,,,,
1969.625,18.118,30.418,5.745,35.059
1969.7083,,,,
1969.7917,,,,
1969.875,9.465,33.536,9.535,34.765
1969.9583,6.418,32.845,8.42,35.066
1970.0417,,,,
1970.125,,,,
1970.2083,1.572,31.645,3.515,34.856
1970.2917,3.184,32.11,4.522,34.947
1970.375,,,,
1970.4583,9.191,28.994,5.63,35.067
1970.5417,14.813,29.116,6.055,35.179
1970.625,15.927,31.238,6.775,35.174
1970.7083,,,,
1970.7917,12.066,31.095,7.12,35.192
1970.875,8.862,34.15,7.825,35.174
1970.9583,6.629,31.397,7.19,35.116
1971.0417,4.074,31.918,7.085,35.074
1971.125,,,,
1971.2083,3.751,33.173,5.65,35.133
1971.2917,5.383,30.898,6.17,35.099
1971.375,8.993,30.247,6.25,35.194
1971.4583,10.841,29.891,6.76,35.224
1971.5417,,,,
1971.625,14.758,29.363,6.88,35.149
1971.7083,,,,
1971.7917,12.138,31.94,7.46,35.156
1971.875,8.505,34.093,8.21,35.231
1971.9583,6.463,32.534,8.275,35.076
1972.0417,,,,
1972.125,4.419,31.463,7.515,35.187
1972.2083,0.742,23.972,6.58,35.147
1972.2917,5.329,32.237,4.455,34.85
1972.375,8.121,30.998,5.225,35.044
1972.4583,,,,
1972.5417,,,,
1972.625,16.341,29.661,6.81,35.169
1972.7083,,,,
1972.7917,12.23,31,,
1972.875,8.493,33.134,9.555,34.865
1972.9583,7.497,33.521,8.73,35.173
1973.0417,6.186,34.016,7.805,35.197
1973.125,5.291,33.278,6.395,34.981
1973.2083,5.16,31.25,7.25,35.218
1973.2917,,,,
1973.375,7.294,32.278,6.9,35.148
1973.4583,,,,
1973.5417,,,,
1973.625,16.372,31.276,7.58,35.099
1973.7083,14.33,32.201,7.33,35.067
1973.7917,,,,
1973.875,,,,
1973.9583,,,,
1974.0417,,,,
1974.125,3.906,31.176,5.615,35.006
1974.2083,4.196,28.766,6.145,35.07
1974.2917,6.531,23.569,6.045,35.128
1974.375,11.635,26.28,6.405,35.183
1974.4583,,,,
1974.5417,,,,
